trainer_id,item_id,quantity
# Rewards are optional. Use numeric constants from include/constants/item.h.
# A trainer omitted from this table still receives a team preview and battle
# prompt, but its offer does not mention or award an item.

# Route 30 - Youngster Joey: Protein S
8,2689,1
# Route 30 - Youngster Mikey: HP Up S
47,2688,1
# Route 30 - Bug Catcher Don: Iron S
249,2690,1
# Route 31 - Bug Catcher Wade: Carbos S
4,2691,1

# Sprout Tower - Sage Nico: Zinc S
51,2693,1
# Sprout Tower - Sage Chow: Calcium S
43,2692,1
# Sprout Tower - Sage Edmond: Full Incense
52,316,1
# Sprout Tower - Sage Jin: Lax Incense
53,255,1
# Sprout Tower - Sage Neal: Up-Grade
55,252,1
# Sprout Tower - Sage Troy: Dubious Disc
54,324,1

# Violet Gym - Bird Keeper Abe: Blunder Policy
50,1121,1
# Violet Gym - Bird Keeper Rod: Razor Fang
29,327,1
# Falkner (trainer 20) uses Violet Gym's custom battle script rather than the
# shared ordinary-trainer reward path, so his IV Max cannot be awarded here.
